"","value","author_label","country_continent","year_label","continent_label"
"1",6.66666666666667,"No authors","Country",2011,NA
"2",4.34782608695652,"No authors","Country",2016,NA
"3",0,"No authors","Country",2014,NA
"4",2.63157894736842,"No authors","Country",2010,NA
"5",3.84615384615385,"No authors","Country",2017,NA
"6",9.67741935483871,"No authors","Country",2013,NA
"7",7.5,"No authors","Country",2012,NA
"8",9.43396226415094,"No authors","Country",2009,NA
"9",4.76190476190476,"No authors","Country",2015,NA
"10",0,"No authors","Country",2018,NA
"11",93.3333333333333,"Any authors","Country",2011,NA
"12",95.6521739130435,"Any authors","Country",2016,NA
"13",100,"Any authors","Country",2014,NA
"14",97.3684210526316,"Any authors","Country",2010,NA
"15",96.1538461538462,"Any authors","Country",2017,NA
"16",90.3225806451613,"Any authors","Country",2013,NA
"17",92.5,"Any authors","Country",2012,NA
"18",90.5660377358491,"Any authors","Country",2009,NA
"19",95.2380952380952,"Any authors","Country",2015,NA
"20",100,"Any authors","Country",2018,NA
"21",82.2222222222222,"Lead authors","Country",2011,NA
"22",91.304347826087,"Lead authors","Country",2016,NA
"23",100,"Lead authors","Country",2014,NA
"24",97.3684210526316,"Lead authors","Country",2010,NA
"25",76.9230769230769,"Lead authors","Country",2017,NA
"26",74.1935483870968,"Lead authors","Country",2013,NA
"27",85,"Lead authors","Country",2012,NA
"28",90.5660377358491,"Lead authors","Country",2009,NA
"29",80.9523809523809,"Lead authors","Country",2015,NA
"30",100,"Lead authors","Country",2018,NA
"31",62.2222222222222,"All authors","Country",2011,NA
"32",73.9130434782609,"All authors","Country",2016,NA
"33",57.1428571428571,"All authors","Country",2014,NA
"34",86.8421052631579,"All authors","Country",2010,NA
"35",61.5384615384615,"All authors","Country",2017,NA
"36",61.2903225806452,"All authors","Country",2013,NA
"37",75,"All authors","Country",2012,NA
"38",71.6981132075472,"All authors","Country",2009,NA
"39",71.4285714285714,"All authors","Country",2015,NA
"40",100,"All authors","Country",2018,NA
"41",6.66666666666667,"No authors","Continent",2011,NA
"42",0,"No authors","Continent",2016,NA
"43",0,"No authors","Continent",2014,NA
"44",2.63157894736842,"No authors","Continent",2010,NA
"45",3.84615384615385,"No authors","Continent",2017,NA
"46",3.2258064516129,"No authors","Continent",2013,NA
"47",7.5,"No authors","Continent",2012,NA
"48",7.54716981132075,"No authors","Continent",2009,NA
"49",0,"No authors","Continent",2015,NA
"50",0,"No authors","Continent",2018,NA
"51",93.3333333333333,"Any authors","Continent",2011,NA
"52",100,"Any authors","Continent",2016,NA
"53",100,"Any authors","Continent",2014,NA
"54",97.3684210526316,"Any authors","Continent",2010,NA
"55",96.1538461538462,"Any authors","Continent",2017,NA
"56",96.7741935483871,"Any authors","Continent",2013,NA
"57",92.5,"Any authors","Continent",2012,NA
"58",92.4528301886792,"Any authors","Continent",2009,NA
"59",100,"Any authors","Continent",2015,NA
"60",100,"Any authors","Continent",2018,NA
"61",84.4444444444444,"Lead authors","Continent",2011,NA
"62",95.6521739130435,"Lead authors","Continent",2016,NA
"63",100,"Lead authors","Continent",2014,NA
"64",97.3684210526316,"Lead authors","Continent",2010,NA
"65",80.7692307692308,"Lead authors","Continent",2017,NA
"66",80.6451612903226,"Lead authors","Continent",2013,NA
"67",87.5,"Lead authors","Continent",2012,NA
"68",92.4528301886792,"Lead authors","Continent",2009,NA
"69",80.9523809523809,"Lead authors","Continent",2015,NA
"70",100,"Lead authors","Continent",2018,NA
"71",66.6666666666667,"All authors","Continent",2011,NA
"72",86.9565217391304,"All authors","Continent",2016,NA
"73",66.6666666666667,"All authors","Continent",2014,NA
"74",86.8421052631579,"All authors","Continent",2010,NA
"75",65.3846153846154,"All authors","Continent",2017,NA
"76",67.741935483871,"All authors","Continent",2013,NA
"77",77.5,"All authors","Continent",2012,NA
"78",75.4716981132076,"All authors","Continent",2009,NA
"79",76.1904761904762,"All authors","Continent",2015,NA
"80",100,"All authors","Continent",2018,NA
